update_id,ticket_id,updated_at,update_type,old_status,new_status,update_notes
7837,2459,2024-10-01 23:31:27.779795,Created,,Open,Ticket created by employee
7838,2459,2024-10-02 01:21:51.779795,First Response,Open,In Progress,Support agent responded to ticket
7839,2459,2024-10-02 05:44:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7840,2460,2025-12-06 08:52:27.779795,Created,,Open,Ticket created by employee
7841,2460,2025-12-06 12:41:39.779795,First Response,Open,In Progress,Support agent responded to ticket
7842,2460,2025-12-06 15:09:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7843,2461,2024-06-13 17:46:27.779795,Created,,Open,Ticket created by employee
7844,2461,2024-06-13 20:32:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7845,2461,2024-06-14 17:35:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7846,2462,2025-12-29 19:37:27.779795,Created,,Open,Ticket created by employee
7847,2462,2025-12-29 21:15:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7848,2462,2025-12-30 08:28:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7849,2463,2024-09-04 10:16:27.779795,Created,,Open,Ticket created by employee
7850,2463,2024-09-04 15:36:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7851,2463,2024-09-11 12:28:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7852,2464,2025-07-04 20:24:27.779795,Created,,Open,Ticket created by employee
7853,2464,2025-07-05 00:05:51.779795,First Response,Open,In Progress,Support agent responded to ticket
7854,2464,2025-07-04 22:06:21.986232,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
7855,2464,2025-07-05 18:06:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7856,2465,2024-06-24 06:53:27.779795,Created,,Open,Ticket created by employee
7857,2465,2024-06-24 09:24:39.779795,First Response,Open,In Progress,Support agent responded to ticket
7858,2466,2024-08-16 17:43:27.779795,Created,,Open,Ticket created by employee
7859,2466,2024-08-16 22:45:51.779795,First Response,Open,In Progress,Support agent responded to ticket
7860,2466,2024-08-18 04:53:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7861,2467,2025-04-09 22:47:27.779795,Created,,Open,Ticket created by employee
7862,2467,2025-04-09 23:34:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7863,2467,2025-04-10 04:22:59.669000,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
7864,2467,2025-04-10 03:20:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7865,2468,2025-02-09 00:17:27.779795,Created,,Open,Ticket created by employee
7866,2468,2025-02-09 00:42:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7867,2468,2025-02-09 10:48:01.820447,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
7868,2468,2025-02-09 10:59:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7869,2469,2026-01-03 21:45:27.779795,Created,,Open,Ticket created by employee
7870,2469,2026-01-04 15:04:39.779795,First Response,Open,In Progress,Support agent responded to ticket
7871,2470,2024-09-17 20:41:27.779795,Created,,Open,Ticket created by employee
7872,2470,2024-09-17 22:07:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7873,2470,2024-09-18 17:35:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7874,2471,2026-01-11 19:41:27.779795,Created,,Open,Ticket created by employee
7875,2471,2026-01-11 22:51:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7876,2471,2026-01-14 13:42:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7877,2472,2025-10-05 09:31:27.779795,Created,,Open,Ticket created by employee
7878,2472,2025-10-05 15:57:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7879,2472,2025-10-05 18:09:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7880,2473,2025-08-08 16:17:27.779795,Created,,Open,Ticket created by employee
7881,2473,2025-08-08 18:03:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7882,2473,2025-08-09 00:06:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7883,2474,2025-02-28 23:33:27.779795,Created,,Open,Ticket created by employee
7884,2474,2025-03-01 00:09:27.779795,First Response,Open,In Progress,Support agent responded to ticket
7885,2475,2024-08-13 14:04:27.779795,Created,,Open,Ticket created by employee
7886,2475,2024-08-14 08:57:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7887,2475,2024-08-13 15:48:53.219809,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
7888,2475,2024-08-20 20:00:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7889,2476,2024-05-27 15:38:27.779795,Created,,Open,Ticket created by employee
7890,2476,2024-05-27 17:50:27.779795,First Response,Open,In Progress,Support agent responded to ticket
7891,2476,2024-05-27 19:18:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7892,2477,2025-10-21 04:14:27.779795,Created,,Open,Ticket created by employee
7893,2477,2025-10-21 05:41:27.779795,First Response,Open,In Progress,Support agent responded to ticket
7894,2477,2025-10-21 06:49:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7895,2478,2024-10-06 23:03:27.779795,Created,,Open,Ticket created by employee
7896,2478,2024-10-07 04:40:39.779795,First Response,Open,In Progress,Support agent responded to ticket
7897,2478,2024-10-09 13:50:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7898,2479,2026-05-02 16:36:27.779795,Created,,Open,Ticket created by employee
7899,2479,2026-05-02 23:14:51.779795,First Response,Open,In Progress,Support agent responded to ticket
7900,2479,2026-05-04 23:13:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7901,2479,2026-05-05 00:59:06.208421,Closed,Resolved,Closed,Ticket closed after user confirmation
7902,2480,2026-05-03 04:42:27.779795,Created,,Open,Ticket created by employee
7903,2480,2026-05-03 07:41:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7904,2480,2026-05-03 21:24:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7905,2481,2026-04-04 07:06:27.779795,Created,,Open,Ticket created by employee
7906,2481,2026-04-04 10:19:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7907,2481,2026-04-04 18:58:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7908,2481,2026-04-05 00:22:59.850003,Closed,Resolved,Closed,Ticket closed after user confirmation
7909,2482,2025-05-06 12:26:27.779795,Created,,Open,Ticket created by employee
7910,2482,2025-05-06 14:58:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7911,2482,2025-05-07 02:19:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7912,2483,2025-10-16 07:27:27.779795,Created,,Open,Ticket created by employee
7913,2483,2025-10-16 09:43:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7914,2483,2025-10-16 18:43:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7915,2484,2026-01-20 09:47:27.779795,Created,,Open,Ticket created by employee
7916,2484,2026-01-20 10:09:39.779795,First Response,Open,In Progress,Support agent responded to ticket
7917,2484,2026-01-20 13:15:40.714481,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
7918,2484,2026-01-20 17:29:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7919,2484,2026-01-22 09:27:12.318476,Closed,Resolved,Closed,Ticket closed after user confirmation
7920,2485,2024-06-27 23:28:27.779795,Created,,Open,Ticket created by employee
7921,2485,2024-06-28 03:56:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7922,2485,2024-06-28 06:50:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7923,2485,2024-06-28 22:21:13.719078,Closed,Resolved,Closed,Ticket closed after user confirmation
7924,2486,2024-09-08 20:09:27.779795,Created,,Open,Ticket created by employee
7925,2486,2024-09-08 22:17:51.779795,First Response,Open,In Progress,Support agent responded to ticket
7926,2487,2025-04-13 03:26:27.779795,Created,,Open,Ticket created by employee
7927,2487,2025-04-13 05:54:39.779795,First Response,Open,In Progress,Support agent responded to ticket
7928,2487,2025-04-14 20:04:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7929,2488,2025-11-06 22:38:27.779795,Created,,Open,Ticket created by employee
7930,2488,2025-11-07 00:01:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7931,2488,2025-11-07 01:14:05.517545,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
7932,2488,2025-11-09 20:29:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7933,2489,2025-08-06 00:00:27.779795,Created,,Open,Ticket created by employee
7934,2489,2025-08-06 02:05:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7935,2489,2025-08-06 10:02:48.897034,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
7936,2490,2025-09-08 12:52:27.779795,Created,,Open,Ticket created by employee
7937,2490,2025-09-08 16:20:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7938,2491,2026-01-28 01:58:27.779795,Created,,Open,Ticket created by employee
7939,2491,2026-01-28 03:45:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7940,2491,2026-01-30 18:07:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7941,2492,2026-01-15 06:30:27.779795,Created,,Open,Ticket created by employee
7942,2492,2026-01-15 08:58:39.779795,First Response,Open,In Progress,Support agent responded to ticket
7943,2492,2026-01-16 01:55:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7944,2493,2026-04-12 21:11:27.779795,Created,,Open,Ticket created by employee
7945,2493,2026-04-12 23:31:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7946,2493,2026-04-13 19:00:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7947,2494,2025-06-15 22:10:27.779795,Created,,Open,Ticket created by employee
7948,2494,2025-06-16 01:38:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7949,2494,2025-06-18 07:54:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7950,2495,2026-04-15 03:20:27.779795,Created,,Open,Ticket created by employee
7951,2495,2026-04-15 04:31:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7952,2495,2026-04-15 19:12:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7953,2496,2026-01-20 09:11:27.779795,Created,,Open,Ticket created by employee
7954,2496,2026-01-20 12:59:27.779795,First Response,Open,In Progress,Support agent responded to ticket
7955,2496,2026-01-20 18:39:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7956,2497,2026-01-24 23:05:27.779795,Created,,Open,Ticket created by employee
7957,2497,2026-01-24 23:13:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7958,2498,2024-12-13 18:19:27.779795,Created,,Open,Ticket created by employee
7959,2498,2024-12-13 18:38:39.779795,First Response,Open,In Progress,Support agent responded to ticket
7960,2498,2024-12-14 05:26:13.575001,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
7961,2499,2024-09-30 07:48:27.779795,Created,,Open,Ticket created by employee
7962,2499,2024-09-30 08:08:51.779795,First Response,Open,In Progress,Support agent responded to ticket
7963,2499,2024-09-30 15:23:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7964,2500,2025-04-03 10:17:27.779795,Created,,Open,Ticket created by employee
7965,2500,2025-04-03 13:03:39.779795,First Response,Open,In Progress,Support agent responded to ticket
7966,2500,2025-04-04 06:01:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7967,2501,2024-09-28 11:35:27.779795,Created,,Open,Ticket created by employee
7968,2501,2024-09-28 12:40:51.779795,First Response,Open,In Progress,Support agent responded to ticket
7969,2501,2024-09-30 18:09:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7970,2502,2025-08-10 21:48:27.779795,Created,,Open,Ticket created by employee
7971,2502,2025-08-10 23:45:27.779795,First Response,Open,In Progress,Support agent responded to ticket
7972,2502,2025-08-11 19:15:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7973,2503,2024-10-02 12:13:27.779795,Created,,Open,Ticket created by employee
7974,2503,2024-10-02 12:50:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7975,2503,2024-10-02 18:44:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7976,2504,2024-08-18 02:09:27.779795,Created,,Open,Ticket created by employee
7977,2504,2024-08-18 18:49:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7978,2504,2024-08-18 23:44:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7979,2505,2025-02-27 00:30:27.779795,Created,,Open,Ticket created by employee
7980,2505,2025-02-27 05:03:27.779795,First Response,Open,In Progress,Support agent responded to ticket
7981,2505,2025-03-05 13:13:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7982,2506,2024-10-28 15:06:27.779795,Created,,Open,Ticket created by employee
7983,2506,2024-10-28 16:08:15.779795,First Response,Open,In Progress,Support agent responded to ticket
7984,2507,2024-10-28 06:50:27.779795,Created,,Open,Ticket created by employee
7985,2507,2024-10-28 07:47:27.779795,First Response,Open,In Progress,Support agent responded to ticket
7986,2507,2024-10-28 16:22:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7987,2508,2024-07-04 10:20:27.779795,Created,,Open,Ticket created by employee
7988,2508,2024-07-04 12:18:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7989,2509,2025-08-20 02:36:27.779795,Created,,Open,Ticket created by employee
7990,2509,2025-08-20 03:46:39.779795,First Response,Open,In Progress,Support agent responded to ticket
7991,2509,2025-08-20 08:43:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7992,2510,2025-03-10 04:40:27.779795,Created,,Open,Ticket created by employee
7993,2510,2025-03-10 10:35:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7994,2510,2025-03-10 15:45:12.046029,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
7995,2510,2025-03-11 17:21:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
7996,2511,2025-04-06 19:10:27.779795,Created,,Open,Ticket created by employee
7997,2511,2025-04-06 21:32:03.779795,First Response,Open,In Progress,Support agent responded to ticket
7998,2512,2025-04-21 05:18:27.779795,Created,,Open,Ticket created by employee
7999,2512,2025-04-21 09:54:27.779795,First Response,Open,In Progress,Support agent responded to ticket
8000,2512,2025-04-22 04:14:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8001,2513,2024-10-10 18:18:27.779795,Created,,Open,Ticket created by employee
8002,2513,2024-10-10 19:31:39.779795,First Response,Open,In Progress,Support agent responded to ticket
8003,2513,2024-10-11 00:24:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8004,2514,2024-09-30 23:49:27.779795,Created,,Open,Ticket created by employee
8005,2514,2024-10-01 00:29:03.779795,First Response,Open,In Progress,Support agent responded to ticket
8006,2514,2024-10-01 11:49:14.076044,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
8007,2514,2024-10-01 02:18:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8008,2515,2025-09-30 20:29:27.779795,Created,,Open,Ticket created by employee
8009,2515,2025-09-30 22:27:03.779795,First Response,Open,In Progress,Support agent responded to ticket
8010,2515,2025-09-30 23:22:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8011,2516,2025-06-02 17:23:27.779795,Created,,Open,Ticket created by employee
8012,2516,2025-06-02 20:37:51.779795,First Response,Open,In Progress,Support agent responded to ticket
8013,2516,2025-06-03 10:29:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8014,2516,2025-06-03 19:00:31.511776,Closed,Resolved,Closed,Ticket closed after user confirmation
8015,2517,2024-12-09 11:21:27.779795,Created,,Open,Ticket created by employee
8016,2517,2024-12-09 11:32:51.779795,First Response,Open,In Progress,Support agent responded to ticket
8017,2518,2025-08-12 08:27:27.779795,Created,,Open,Ticket created by employee
8018,2518,2025-08-12 10:45:27.779795,First Response,Open,In Progress,Support agent responded to ticket
8019,2518,2025-08-12 15:25:01.926055,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
8020,2518,2025-08-12 21:59:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8021,2519,2026-04-19 15:40:27.779795,Created,,Open,Ticket created by employee
8022,2519,2026-04-19 16:12:15.779795,First Response,Open,In Progress,Support agent responded to ticket
8023,2520,2024-11-25 04:42:27.779795,Created,,Open,Ticket created by employee
8024,2520,2024-11-25 09:47:51.779795,First Response,Open,In Progress,Support agent responded to ticket
8025,2520,2024-11-27 17:11:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8026,2521,2025-11-25 14:56:27.779795,Created,,Open,Ticket created by employee
8027,2521,2025-11-25 17:41:27.779795,First Response,Open,In Progress,Support agent responded to ticket
8028,2521,2025-11-25 23:01:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8029,2521,2025-11-26 09:57:44.945472,Closed,Resolved,Closed,Ticket closed after user confirmation
8030,2522,2025-08-04 05:43:27.779795,Created,,Open,Ticket created by employee
8031,2522,2025-08-04 14:56:39.779795,First Response,Open,In Progress,Support agent responded to ticket
8032,2522,2025-08-04 22:21:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8033,2523,2025-11-04 14:51:27.779795,Created,,Open,Ticket created by employee
8034,2523,2025-11-05 07:54:27.779795,First Response,Open,In Progress,Support agent responded to ticket
8035,2524,2026-04-17 13:01:27.779795,Created,,Open,Ticket created by employee
8036,2524,2026-04-17 14:11:03.779795,First Response,Open,In Progress,Support agent responded to ticket
8037,2525,2025-12-16 09:32:27.779795,Created,,Open,Ticket created by employee
8038,2525,2025-12-16 11:03:03.779795,First Response,Open,In Progress,Support agent responded to ticket
8039,2525,2025-12-16 13:46:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8040,2526,2024-10-06 13:11:27.779795,Created,,Open,Ticket created by employee
8041,2526,2024-10-06 14:48:39.779795,First Response,Open,In Progress,Support agent responded to ticket
8042,2526,2024-10-06 16:10:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8043,2526,2024-10-07 08:41:42.001344,Closed,Resolved,Closed,Ticket closed after user confirmation
8044,2527,2025-05-30 21:19:27.779795,Created,,Open,Ticket created by employee
8045,2527,2025-05-31 00:03:15.779795,First Response,Open,In Progress,Support agent responded to ticket
8046,2527,2025-05-31 15:30:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8047,2528,2026-04-15 18:36:27.779795,Created,,Open,Ticket created by employee
8048,2528,2026-04-15 20:50:51.779795,First Response,Open,In Progress,Support agent responded to ticket
8049,2528,2026-04-16 03:32:38.662004,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
8050,2528,2026-04-17 17:50:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8051,2528,2026-04-17 19:29:46.897618,Closed,Resolved,Closed,Ticket closed after user confirmation
8052,2529,2024-09-12 21:57:27.779795,Created,,Open,Ticket created by employee
8053,2529,2024-09-12 22:34:39.779795,First Response,Open,In Progress,Support agent responded to ticket
8054,2529,2024-09-12 22:36:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8055,2530,2024-09-05 12:55:27.779795,Created,,Open,Ticket created by employee
8056,2530,2024-09-06 07:07:27.779795,First Response,Open,In Progress,Support agent responded to ticket
8057,2530,2024-09-06 20:57:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8058,2531,2025-10-25 07:25:27.779795,Created,,Open,Ticket created by employee
8059,2531,2025-10-25 08:24:15.779795,First Response,Open,In Progress,Support agent responded to ticket
8060,2531,2025-10-25 14:42:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8061,2532,2025-08-26 16:26:27.779795,Created,,Open,Ticket created by employee
8062,2532,2025-08-26 20:24:39.779795,First Response,Open,In Progress,Support agent responded to ticket
8063,2532,2025-08-26 20:36:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8064,2533,2024-12-13 01:58:27.779795,Created,,Open,Ticket created by employee
8065,2533,2024-12-13 05:26:03.779795,First Response,Open,In Progress,Support agent responded to ticket
8066,2533,2024-12-14 12:17:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8067,2533,2024-12-14 14:53:53.360783,Closed,Resolved,Closed,Ticket closed after user confirmation
8068,2534,2024-08-06 09:32:27.779795,Created,,Open,Ticket created by employee
8069,2534,2024-08-06 13:01:51.779795,First Response,Open,In Progress,Support agent responded to ticket
8070,2534,2024-08-07 13:46:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8071,2535,2025-08-11 06:54:27.779795,Created,,Open,Ticket created by employee
8072,2535,2025-08-11 07:24:27.779795,First Response,Open,In Progress,Support agent responded to ticket
8073,2535,2025-08-11 16:49:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8074,2536,2024-09-13 06:17:27.779795,Created,,Open,Ticket created by employee
8075,2536,2024-09-13 07:52:51.779795,First Response,Open,In Progress,Support agent responded to ticket
8076,2536,2024-09-14 01:57:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8077,2537,2025-08-17 00:07:27.779795,Created,,Open,Ticket created by employee
8078,2537,2025-08-17 01:51:15.779795,First Response,Open,In Progress,Support agent responded to ticket
8079,2537,2025-08-17 09:53:32.210343,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
8080,2537,2025-08-17 06:04:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8081,2538,2024-12-08 18:56:27.779795,Created,,Open,Ticket created by employee
8082,2538,2024-12-08 19:03:39.779795,First Response,Open,In Progress,Support agent responded to ticket
8083,2538,2024-12-09 18:03:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8084,2539,2025-07-17 07:46:27.779795,Created,,Open,Ticket created by employee
8085,2539,2025-07-17 07:55:27.779795,First Response,Open,In Progress,Support agent responded to ticket
8086,2539,2025-07-18 00:15:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8087,2540,2025-08-24 04:35:27.779795,Created,,Open,Ticket created by employee
8088,2540,2025-08-24 11:49:15.779795,First Response,Open,In Progress,Support agent responded to ticket
8089,2540,2025-08-25 17:15:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8090,2541,2025-08-17 00:17:27.779795,Created,,Open,Ticket created by employee
8091,2541,2025-08-17 00:44:27.779795,First Response,Open,In Progress,Support agent responded to ticket
8092,2541,2025-08-17 20:12:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8093,2541,2025-08-18 01:52:40.037247,Closed,Resolved,Closed,Ticket closed after user confirmation
8094,2542,2025-07-31 23:12:27.779795,Created,,Open,Ticket created by employee
8095,2542,2025-07-31 23:40:03.779795,First Response,Open,In Progress,Support agent responded to ticket
8096,2542,2025-08-01 02:03:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8097,2543,2025-02-24 08:09:27.779795,Created,,Open,Ticket created by employee
8098,2543,2025-02-24 12:43:39.779795,First Response,Open,In Progress,Support agent responded to ticket
8099,2543,2025-02-24 15:51:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8100,2544,2024-12-06 13:00:27.779795,Created,,Open,Ticket created by employee
8101,2544,2024-12-06 13:44:15.779795,First Response,Open,In Progress,Support agent responded to ticket
8102,2544,2024-12-09 11:46:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8103,2545,2026-01-01 18:16:27.779795,Created,,Open,Ticket created by employee
8104,2545,2026-01-01 21:39:51.779795,First Response,Open,In Progress,Support agent responded to ticket
8105,2545,2026-01-02 02:42:15.582583,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
8106,2545,2026-01-04 08:42:15.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8107,2546,2025-12-20 05:05:27.779795,Created,,Open,Ticket created by employee
8108,2546,2025-12-20 08:49:15.779795,First Response,Open,In Progress,Support agent responded to ticket
8109,2546,2025-12-21 04:01:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8110,2547,2024-06-30 21:14:27.779795,Created,,Open,Ticket created by employee
8111,2547,2024-06-30 21:39:03.779795,First Response,Open,In Progress,Support agent responded to ticket
8112,2547,2024-07-01 05:24:23.606305,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
8113,2547,2024-06-30 22:40:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8114,2548,2024-10-19 17:57:27.779795,Created,,Open,Ticket created by employee
8115,2548,2024-10-19 18:58:39.779795,First Response,Open,In Progress,Support agent responded to ticket
8116,2549,2026-05-16 08:49:27.779795,Created,,Open,Ticket created by employee
8117,2549,2026-05-16 12:24:15.779795,First Response,Open,In Progress,Support agent responded to ticket
8118,2549,2026-05-16 15:44:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8119,2550,2024-06-20 11:33:27.779795,Created,,Open,Ticket created by employee
8120,2550,2024-06-20 12:41:51.779795,First Response,Open,In Progress,Support agent responded to ticket
8121,2550,2024-06-20 18:22:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8122,2551,2025-04-12 16:06:27.779795,Created,,Open,Ticket created by employee
8123,2551,2025-04-12 17:58:39.779795,First Response,Open,In Progress,Support agent responded to ticket
8124,2551,2025-04-13 15:28:03.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8125,2552,2025-04-27 00:11:27.779795,Created,,Open,Ticket created by employee
8126,2552,2025-04-27 01:15:03.779795,First Response,Open,In Progress,Support agent responded to ticket
8127,2552,2025-04-27 03:55:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8128,2553,2024-10-03 18:41:27.779795,Created,,Open,Ticket created by employee
8129,2553,2024-10-03 19:47:27.779795,First Response,Open,In Progress,Support agent responded to ticket
8130,2553,2024-10-04 01:54:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8131,2554,2025-09-02 17:36:27.779795,Created,,Open,Ticket created by employee
8132,2554,2025-09-02 22:06:27.779795,First Response,Open,In Progress,Support agent responded to ticket
8133,2554,2025-09-03 04:43:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8134,2555,2025-02-16 01:54:27.779795,Created,,Open,Ticket created by employee
8135,2555,2025-02-16 04:26:51.779795,First Response,Open,In Progress,Support agent responded to ticket
8136,2555,2025-02-16 09:32:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8137,2556,2025-05-30 18:28:27.779795,Created,,Open,Ticket created by employee
8138,2556,2025-05-30 19:41:03.779795,First Response,Open,In Progress,Support agent responded to ticket
8139,2556,2025-05-31 18:19:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8140,2557,2025-08-15 15:31:27.779795,Created,,Open,Ticket created by employee
8141,2557,2025-08-15 17:01:27.779795,First Response,Open,In Progress,Support agent responded to ticket
8142,2557,2025-08-16 18:27:51.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8143,2558,2024-09-20 00:41:27.779795,Created,,Open,Ticket created by employee
8144,2558,2024-09-20 10:04:51.779795,First Response,Open,In Progress,Support agent responded to ticket
8145,2559,2024-07-09 02:47:27.779795,Created,,Open,Ticket created by employee
8146,2559,2024-07-09 03:52:15.779795,First Response,Open,In Progress,Support agent responded to ticket
8147,2559,2024-07-09 05:10:13.542298,Escalation,In Progress,Escalated,Ticket escalated to higher support tier
8148,2559,2024-07-11 22:11:27.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8149,2559,2024-07-13 04:39:00.011813,Closed,Resolved,Closed,Ticket closed after user confirmation
8150,2560,2025-09-22 09:58:27.779795,Created,,Open,Ticket created by employee
8151,2560,2025-09-23 01:33:15.779795,First Response,Open,In Progress,Support agent responded to ticket
8152,2560,2025-09-24 01:17:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
8153,2561,2025-06-22 20:04:27.779795,Created,,Open,Ticket created by employee
8154,2561,2025-06-23 11:21:51.779795,First Response,Open,In Progress,Support agent responded to ticket
8155,2561,2025-06-26 17:14:39.779795,Resolved,In Progress,Resolved,Issue resolved by support team
