ticket_id,employee_id,agent_id,team_id,system_id,sla_id,created_at,first_response_at,resolved_at,status,priority,category,subcategory,first_response_time_hours,resolution_time_hours,sla_breached,satisfaction_score,ticket_summary
2889,131,31,2,8,3,2025-01-25 07:43:27.779795,2025-01-25 09:04:27.779795,2025-01-25 12:25:27.779795,Resolved,Medium,Printer Issue,Print queue stuck,1.35,4.7,False,3.0,Print queue stuck - printer issue reported by user
2890,229,20,4,7,2,2024-08-31 09:47:27.779795,2024-08-31 10:42:39.779795,2024-08-31 13:32:27.779795,Resolved,High,Security Alert,Endpoint alert,0.92,3.75,False,2.0,Endpoint alert - security alert reported by user
2891,195,17,2,6,2,2026-02-04 18:55:27.779795,2026-02-04 20:15:15.779795,2026-02-04 23:14:39.779795,Resolved,High,Software Access,Application access request,1.33,4.32,False,5.0,Application access request - software access reported by user
2892,295,8,1,6,3,2025-10-10 16:51:27.779795,2025-10-10 23:28:39.779795,2025-10-13 07:05:15.779795,Closed,Medium,Printer Issue,Print queue stuck,6.62,62.23,True,5.0,Print queue stuck - printer issue reported by user
2893,229,31,4,2,3,2026-03-19 14:10:27.779795,2026-03-19 15:39:51.779795,,Open,Medium,Hardware,Monitor not working,1.49,,,,Monitor not working - hardware reported by user
2894,44,24,3,5,4,2025-08-25 07:17:27.779795,2025-08-25 09:37:15.779795,2025-08-27 16:15:39.779795,Resolved,Low,Password Reset,Password reset request,2.33,56.97,False,5.0,Password reset request - password reset reported by user
2895,111,32,3,5,2,2025-11-23 02:47:27.779795,2025-11-23 06:26:27.779795,2025-11-23 09:37:51.779795,Closed,High,Account Lockout,AD account issue,3.65,6.84,False,5.0,AD account issue - account lockout reported by user
2896,124,22,6,5,4,2026-03-22 07:42:27.779795,2026-03-22 15:44:51.779795,,In Progress,Low,Account Lockout,Account locked,8.04,,,,Account locked - account lockout reported by user
2897,231,11,4,8,4,2025-04-26 16:54:27.779795,2025-04-26 21:56:51.779795,,In Progress,Low,Password Reset,Password reset request,5.04,,,,Password reset request - password reset reported by user
2898,255,4,6,9,3,2026-05-02 20:48:27.779795,2026-05-02 21:58:03.779795,2026-05-04 04:22:03.779795,Resolved,Medium,Security Alert,Endpoint alert,1.16,31.56,True,5.0,Endpoint alert - security alert reported by user
2899,16,12,4,7,4,2025-07-31 04:19:27.779795,2025-07-31 06:50:39.779795,2025-08-02 03:24:51.779795,Resolved,Low,Application Error,CRM login issue,2.52,47.09,False,5.0,CRM login issue - application error reported by user
2900,204,7,4,6,2,2025-03-08 23:02:27.779795,2025-03-09 00:04:51.779795,2025-03-09 17:55:51.779795,Resolved,High,Printer Issue,Unable to print,1.04,18.89,True,4.0,Unable to print - printer issue reported by user
2901,58,25,2,7,3,2025-03-01 07:24:27.779795,2025-03-01 07:35:15.779795,2025-03-03 06:00:27.779795,Resolved,Medium,VPN Issue,VPN disconnecting,0.18,46.6,True,3.0,VPN disconnecting - vpn issue reported by user
2902,219,31,5,1,3,2026-01-31 21:40:27.779795,2026-01-31 23:45:51.779795,2026-02-01 10:14:39.779795,Resolved,Medium,VPN Issue,MFA failure,2.09,12.57,False,2.0,MFA failure - vpn issue reported by user
2903,297,2,2,4,4,2025-11-07 18:30:27.779795,2025-11-08 08:16:03.779795,2025-11-10 08:40:39.779795,Resolved,Low,Hardware,Docking station problem,13.76,62.17,False,4.0,Docking station problem - hardware reported by user
2904,195,23,5,10,3,2024-11-16 00:57:27.779795,2024-11-16 03:34:03.779795,2024-11-16 21:41:15.779795,Resolved,Medium,VPN Issue,VPN disconnecting,2.61,20.73,False,4.0,VPN disconnecting - vpn issue reported by user
2905,237,7,3,7,2,2025-02-13 17:33:27.779795,2025-02-13 21:19:39.779795,2025-02-13 21:40:39.779795,Resolved,High,Email Issue,Email delivery delay,3.77,4.12,False,3.0,Email delivery delay - email issue reported by user
2906,198,28,6,7,3,2024-11-29 23:54:27.779795,2024-11-30 00:59:51.779795,2024-11-30 22:42:27.779795,Closed,Medium,Password Reset,Expired password,1.09,22.8,False,4.0,Expired password - password reset reported by user
2907,272,33,3,7,3,2024-11-30 10:01:27.779795,2024-11-30 12:56:03.779795,2024-12-01 02:10:27.779795,Resolved,Medium,Hardware,Laptop issue,2.91,16.15,False,5.0,Laptop issue - hardware reported by user
2908,244,9,6,2,4,2025-04-17 18:05:27.779795,2025-04-18 09:00:03.779795,2025-04-23 03:50:27.779795,Resolved,Low,Email Issue,Mailbox access issue,14.91,129.75,True,4.0,Mailbox access issue - email issue reported by user
2909,143,20,6,9,3,2025-04-23 03:30:27.779795,2025-04-23 05:25:39.779795,2025-04-23 17:45:27.779795,Resolved,Medium,Application Error,Application crash,1.92,14.25,False,4.0,Application crash - application error reported by user
2910,138,6,2,9,3,2026-05-15 07:55:27.779795,2026-05-15 14:34:27.779795,,In Progress,Medium,Security Alert,Endpoint alert,6.65,,,,Endpoint alert - security alert reported by user
2911,43,4,3,1,4,2025-10-21 07:48:27.779795,2025-10-21 13:28:39.779795,2025-10-25 07:37:39.779795,Resolved,Low,Account Lockout,AD account issue,5.67,95.82,True,4.0,AD account issue - account lockout reported by user
2912,163,32,2,2,3,2026-02-15 04:38:27.779795,2026-02-15 04:56:27.779795,2026-02-15 05:25:15.779795,Resolved,Medium,VPN Issue,VPN disconnecting,0.3,0.78,False,2.0,VPN disconnecting - vpn issue reported by user
2913,128,16,4,1,2,2024-05-29 07:09:27.779795,2024-05-29 09:41:51.779795,2024-05-29 12:35:15.779795,Resolved,High,Application Error,ERP timeout,2.54,5.43,False,2.0,ERP timeout - application error reported by user
2914,108,24,2,2,3,2026-02-15 04:32:27.779795,2026-02-15 04:45:39.779795,2026-02-15 12:27:03.779795,Closed,Medium,VPN Issue,VPN disconnecting,0.22,7.91,False,4.0,VPN disconnecting - vpn issue reported by user
2915,30,3,6,2,4,2025-06-30 07:11:27.779795,2025-06-30 23:30:39.779795,2025-07-01 10:07:15.779795,Resolved,Low,WiFi/Network,WiFi disconnecting,16.32,26.93,False,5.0,WiFi disconnecting - wifi/network reported by user
2916,95,7,6,8,4,2025-08-25 03:44:27.779795,2025-08-25 05:31:15.779795,,Open,Low,WiFi/Network,Slow network,1.78,,,,Slow network - wifi/network reported by user
2917,149,11,4,3,1,2026-01-20 08:09:27.779795,2026-01-20 08:58:39.779795,2026-01-20 11:41:15.779795,Resolved,Critical,Password Reset,Forgot password,0.82,3.53,False,5.0,Forgot password - password reset reported by user
2918,40,14,5,7,1,2024-10-31 16:01:27.779795,2024-10-31 16:53:03.779795,,In Progress,Critical,Password Reset,Expired password,0.86,,,,Expired password - password reset reported by user
2919,139,16,3,9,2,2026-01-18 06:17:27.779795,2026-01-18 07:58:51.779795,2026-01-18 15:37:51.779795,Resolved,High,Software Access,Application access request,1.69,9.34,True,5.0,Application access request - software access reported by user
2920,162,16,1,2,3,2026-05-18 17:08:27.779795,2026-05-18 18:31:15.779795,2026-05-21 12:03:39.779795,Resolved,Medium,Password Reset,Forgot password,1.38,66.92,True,5.0,Forgot password - password reset reported by user
2921,98,18,4,8,2,2026-02-22 05:21:27.779795,2026-02-22 06:14:51.779795,2026-02-22 17:28:03.779795,Closed,High,Account Lockout,AD account issue,0.89,12.11,True,4.0,AD account issue - account lockout reported by user
2922,92,20,4,5,3,2025-04-26 04:27:27.779795,2025-04-26 06:04:03.779795,2025-04-28 12:16:39.779795,Resolved,Medium,Hardware,Laptop issue,1.61,55.82,True,5.0,Laptop issue - hardware reported by user
2923,266,11,4,8,3,2025-07-18 20:07:27.779795,2025-07-18 20:40:27.779795,2025-07-19 16:04:27.779795,Closed,Medium,Hardware,Laptop issue,0.55,19.95,False,2.0,Laptop issue - hardware reported by user
2924,170,23,4,1,2,2024-07-16 03:53:27.779795,2024-07-16 04:45:03.779795,2024-07-16 07:28:15.779795,Resolved,High,Printer Issue,Unable to print,0.86,3.58,False,5.0,Unable to print - printer issue reported by user
2925,71,17,2,7,2,2024-07-07 00:35:27.779795,2024-07-07 01:53:27.779795,2024-07-07 02:18:03.779795,Closed,High,Hardware,Monitor not working,1.3,1.71,False,4.0,Monitor not working - hardware reported by user
2926,213,12,4,9,2,2024-07-03 18:39:27.779795,2024-07-03 19:55:39.779795,2024-07-04 03:20:51.779795,Closed,High,Security Alert,Endpoint alert,1.27,8.69,True,3.0,Endpoint alert - security alert reported by user
2927,3,29,4,9,3,2024-07-24 06:04:27.779795,2024-07-24 08:43:27.779795,2024-07-24 20:08:39.779795,Resolved,Medium,Hardware,Laptop issue,2.65,14.07,False,5.0,Laptop issue - hardware reported by user
2928,240,26,4,2,2,2025-01-01 05:41:27.779795,2025-01-01 06:22:51.779795,2025-01-01 09:44:27.779795,Resolved,High,WiFi/Network,No internet access,0.69,4.05,False,2.0,No internet access - wifi/network reported by user
2929,57,35,1,1,1,2024-06-27 17:08:27.779795,2024-06-27 19:30:39.779795,2024-06-27 19:48:03.779795,Resolved,Critical,Printer Issue,Print queue stuck,2.37,2.66,False,4.0,Print queue stuck - printer issue reported by user
2930,247,3,4,7,3,2025-06-01 03:47:27.779795,2025-06-01 06:34:15.779795,2025-06-01 09:57:03.779795,Resolved,Medium,Account Lockout,Too many login attempts,2.78,6.16,False,5.0,Too many login attempts - account lockout reported by user
2931,78,8,3,3,2,2025-12-07 23:37:27.779795,2025-12-08 00:03:51.779795,2025-12-08 03:44:03.779795,Resolved,High,WiFi/Network,Slow network,0.44,4.11,False,3.0,Slow network - wifi/network reported by user
2932,296,7,2,1,4,2025-07-27 07:16:27.779795,2025-07-27 11:59:03.779795,,Open,Low,Password Reset,Password reset request,4.71,,,,Password reset request - password reset reported by user
2933,274,35,1,2,4,2025-02-19 02:02:27.779795,2025-02-19 08:15:39.779795,2025-02-20 10:54:03.779795,Resolved,Low,Account Lockout,AD account issue,6.22,32.86,False,3.0,AD account issue - account lockout reported by user
2934,20,10,3,8,1,2025-11-15 22:44:27.779795,2025-11-15 23:48:03.779795,2025-11-16 00:59:27.779795,Resolved,Critical,Security Alert,Endpoint alert,1.06,2.25,False,5.0,Endpoint alert - security alert reported by user
2935,191,22,5,6,2,2024-07-08 15:59:27.779795,2024-07-08 19:51:39.779795,2024-07-08 21:28:51.779795,Resolved,High,Password Reset,Forgot password,3.87,5.49,False,5.0,Forgot password - password reset reported by user
2936,278,26,6,4,4,2024-08-07 06:03:27.779795,2024-08-07 13:57:27.779795,2024-08-08 13:01:03.779795,Resolved,Low,Account Lockout,Too many login attempts,7.9,30.96,False,5.0,Too many login attempts - account lockout reported by user
2937,76,12,3,5,2,2025-06-09 08:49:27.779795,2025-06-09 10:27:15.779795,2025-06-10 07:26:39.779795,Resolved,High,Password Reset,Password reset request,1.63,22.62,True,4.0,Password reset request - password reset reported by user
2938,287,32,1,9,4,2025-02-18 16:57:27.779795,2025-02-19 08:35:15.779795,2025-02-19 15:11:51.779795,Resolved,Low,Printer Issue,Printer offline,15.63,22.24,False,2.0,Printer offline - printer issue reported by user
2939,148,16,6,10,3,2024-07-12 12:18:27.779795,2024-07-12 12:31:03.779795,2024-07-12 22:45:27.779795,Resolved,Medium,Hardware,Docking station problem,0.21,10.45,False,3.0,Docking station problem - hardware reported by user
2940,255,3,4,5,3,2025-04-06 13:03:27.779795,2025-04-06 16:28:03.779795,2025-04-07 00:08:51.779795,Resolved,Medium,Application Error,CRM login issue,3.41,11.09,False,5.0,CRM login issue - application error reported by user
2941,284,16,1,5,4,2025-03-08 01:47:27.779795,2025-03-08 02:53:27.779795,,In Progress,Low,Software Access,License missing,1.1,,,,License missing - software access reported by user
2942,189,8,2,1,4,2026-03-22 08:54:27.779795,2026-03-22 15:04:39.779795,2026-03-24 08:35:15.779795,Resolved,Low,Account Lockout,Too many login attempts,6.17,47.68,False,2.0,Too many login attempts - account lockout reported by user
2943,153,31,2,9,3,2024-09-19 11:52:27.779795,2024-09-19 11:58:27.779795,,In Progress,Medium,Printer Issue,Print queue stuck,0.1,,,,Print queue stuck - printer issue reported by user
2944,257,21,1,8,3,2025-03-05 21:49:27.779795,2025-03-05 23:09:15.779795,2025-03-06 07:33:15.779795,Resolved,Medium,Security Alert,Suspicious login,1.33,9.73,False,3.0,Suspicious login - security alert reported by user
2945,97,22,2,5,3,2025-11-21 03:22:27.779795,2025-11-21 03:50:03.779795,2025-11-21 15:50:39.779795,Resolved,Medium,Password Reset,Forgot password,0.46,12.47,False,5.0,Forgot password - password reset reported by user
2946,62,34,6,5,2,2025-05-08 17:04:27.779795,2025-05-08 17:13:27.779795,2025-05-08 23:40:27.779795,Resolved,High,Application Error,CRM login issue,0.15,6.6,False,3.0,CRM login issue - application error reported by user
2947,192,5,3,7,3,2024-06-12 15:17:27.779795,2024-06-12 18:57:39.779795,2024-06-13 11:16:15.779795,Closed,Medium,Password Reset,Expired password,3.67,19.98,False,3.0,Expired password - password reset reported by user
2948,299,17,4,4,4,2025-07-11 14:57:27.779795,2025-07-11 21:40:39.779795,2025-07-13 10:43:03.779795,Resolved,Low,Security Alert,Endpoint alert,6.72,43.76,False,3.0,Endpoint alert - security alert reported by user
2949,212,13,4,1,1,2025-06-02 22:12:27.779795,2025-06-02 22:26:15.779795,2025-06-03 08:59:15.779795,Resolved,Critical,Password Reset,Expired password,0.23,10.78,True,3.0,Expired password - password reset reported by user
2950,36,15,4,7,2,2024-12-17 12:12:27.779795,2024-12-17 13:57:27.779795,2024-12-17 15:15:27.779795,Resolved,High,Software Access,License missing,1.75,3.05,False,4.0,License missing - software access reported by user
2951,144,24,4,9,3,2026-04-15 14:30:27.779795,2026-04-15 16:02:51.779795,2026-04-16 05:09:27.779795,Resolved,Medium,Software Access,License missing,1.54,14.65,False,5.0,License missing - software access reported by user
2952,230,31,4,4,3,2025-03-17 05:02:27.779795,2025-03-17 07:46:15.779795,2025-03-17 11:59:27.779795,Resolved,Medium,VPN Issue,VPN disconnecting,2.73,6.95,False,4.0,VPN disconnecting - vpn issue reported by user
2953,292,25,1,3,3,2024-12-22 00:10:27.779795,2024-12-22 02:39:15.779795,2024-12-22 05:57:15.779795,Resolved,Medium,WiFi/Network,Slow network,2.48,5.78,False,1.0,Slow network - wifi/network reported by user
2954,195,28,5,5,4,2024-05-25 17:07:27.779795,2024-05-25 23:38:03.779795,2024-05-27 01:05:39.779795,Resolved,Low,Security Alert,Phishing email reported,6.51,31.97,False,5.0,Phishing email reported - security alert reported by user
2955,212,33,1,6,3,2025-09-08 02:48:27.779795,2025-09-08 06:47:15.779795,2025-09-08 07:56:51.779795,Closed,Medium,Account Lockout,Account locked,3.98,5.14,False,4.0,Account locked - account lockout reported by user
2956,16,6,5,10,4,2025-11-09 20:30:27.779795,2025-11-09 22:56:15.779795,2025-11-11 18:49:39.779795,Resolved,Low,Application Error,ERP timeout,2.43,46.32,False,4.0,ERP timeout - application error reported by user
2957,260,27,2,7,2,2024-08-30 09:02:27.779795,2024-08-30 10:55:15.779795,,In Progress,High,Password Reset,Password reset request,1.88,,,,Password reset request - password reset reported by user
2958,294,25,1,1,2,2026-04-22 21:50:27.779795,2026-04-22 23:37:15.779795,2026-04-23 04:33:03.779795,Resolved,High,Account Lockout,AD account issue,1.78,6.71,False,5.0,AD account issue - account lockout reported by user
2959,84,24,2,9,3,2025-11-07 19:14:27.779795,2025-11-07 20:48:39.779795,,In Progress,Medium,Password Reset,Expired password,1.57,,,,Expired password - password reset reported by user
2960,69,11,6,5,2,2025-10-17 16:45:27.779795,2025-10-17 18:01:03.779795,2025-10-18 16:38:51.779795,Resolved,High,Printer Issue,Unable to print,1.26,23.89,True,4.0,Unable to print - printer issue reported by user
2961,3,35,3,5,3,2024-12-28 19:20:27.779795,2024-12-28 21:30:39.779795,2024-12-29 10:01:51.779795,Resolved,Medium,Hardware,Docking station problem,2.17,14.69,False,5.0,Docking station problem - hardware reported by user
2962,194,30,6,3,3,2025-02-23 09:33:27.779795,2025-02-23 10:22:03.779795,2025-02-24 01:54:27.779795,Resolved,Medium,Software Access,License missing,0.81,16.35,False,4.0,License missing - software access reported by user
2963,164,31,6,5,3,2024-06-20 06:03:27.779795,2024-06-20 06:14:51.779795,2024-06-20 19:28:39.779795,Resolved,Medium,Hardware,Laptop issue,0.19,13.42,False,5.0,Laptop issue - hardware reported by user
2964,124,29,1,3,4,2024-12-23 06:51:27.779795,2024-12-23 13:53:15.779795,2024-12-24 22:08:51.779795,Resolved,Low,Software Access,License missing,7.03,39.29,False,4.0,License missing - software access reported by user
2965,226,13,6,2,3,2024-08-11 03:08:27.779795,2024-08-11 03:53:27.779795,,Open,Medium,VPN Issue,VPN connection failed,0.75,,,,VPN connection failed - vpn issue reported by user
2966,142,17,2,4,4,2024-09-20 08:00:27.779795,2024-09-20 21:58:03.779795,2024-09-22 00:03:27.779795,Resolved,Low,Hardware,Monitor not working,13.96,40.05,False,5.0,Monitor not working - hardware reported by user
2967,17,34,3,1,3,2024-06-29 03:59:27.779795,2024-06-29 10:37:51.779795,,In Progress,Medium,Account Lockout,Account locked,6.64,,,,Account locked - account lockout reported by user
2968,227,29,3,7,4,2025-02-25 15:16:27.779795,2025-02-26 00:56:39.779795,2025-02-27 20:26:39.779795,Resolved,Low,VPN Issue,MFA failure,9.67,53.17,False,4.0,MFA failure - vpn issue reported by user
2969,154,10,3,6,3,2025-04-10 05:39:27.779795,2025-04-10 07:24:27.779795,2025-04-10 20:59:15.779795,Resolved,Medium,Software Access,License missing,1.75,15.33,False,4.0,License missing - software access reported by user
2970,139,3,4,1,3,2024-07-16 06:28:27.779795,2024-07-16 10:26:03.779795,2024-07-16 14:59:39.779795,Resolved,Medium,Printer Issue,Unable to print,3.96,8.52,False,3.0,Unable to print - printer issue reported by user
2971,70,13,5,10,3,2025-01-14 09:44:27.779795,2025-01-14 10:22:51.779795,2025-01-15 06:57:39.779795,Resolved,Medium,WiFi/Network,No internet access,0.64,21.22,False,4.0,No internet access - wifi/network reported by user
2972,31,15,3,7,3,2025-10-16 15:44:27.779795,2025-10-16 16:53:27.779795,2025-10-17 05:40:51.779795,Resolved,Medium,Account Lockout,Account locked,1.15,13.94,False,4.0,Account locked - account lockout reported by user
2973,211,10,4,4,3,2025-10-05 13:17:27.779795,2025-10-05 13:24:39.779795,2025-10-05 14:39:39.779795,Resolved,Medium,Application Error,Application crash,0.12,1.37,False,2.0,Application crash - application error reported by user
2974,223,5,3,10,3,2025-08-02 06:13:27.779795,2025-08-02 08:32:03.779795,2025-08-03 06:32:03.779795,Resolved,Medium,Password Reset,Password reset request,2.31,24.31,True,4.0,Password reset request - password reset reported by user
2975,174,20,6,4,3,2025-08-04 04:40:27.779795,2025-08-04 05:08:39.779795,2025-08-06 22:24:15.779795,Closed,Medium,Software Access,Permission issue,0.47,65.73,True,5.0,Permission issue - software access reported by user
2976,162,12,6,3,3,2024-10-01 13:05:27.779795,2024-10-01 15:49:15.779795,,In Progress,Medium,Email Issue,Outlook not syncing,2.73,,,,Outlook not syncing - email issue reported by user
2977,256,13,2,2,3,2025-12-26 09:17:27.779795,2025-12-26 10:56:27.779795,,In Progress,Medium,WiFi/Network,Slow network,1.65,,,,Slow network - wifi/network reported by user
2978,273,26,1,2,3,2025-07-04 11:14:27.779795,2025-07-04 11:42:03.779795,2025-07-04 17:39:03.779795,Resolved,Medium,Password Reset,Password reset request,0.46,6.41,False,5.0,Password reset request - password reset reported by user
2979,132,16,3,10,2,2025-05-21 17:19:27.779795,2025-05-21 18:52:27.779795,2025-05-21 19:46:27.779795,Resolved,High,Printer Issue,Print queue stuck,1.55,2.45,False,4.0,Print queue stuck - printer issue reported by user
2980,252,17,1,2,4,2026-04-23 03:21:27.779795,2026-04-23 11:32:15.779795,2026-04-25 08:17:15.779795,Closed,Low,Hardware,Monitor not working,8.18,52.93,False,5.0,Monitor not working - hardware reported by user
2981,256,22,3,10,4,2024-12-03 15:11:27.779795,2024-12-03 19:43:15.779795,,Open,Low,Security Alert,Endpoint alert,4.53,,,,Endpoint alert - security alert reported by user
2982,177,21,2,9,2,2025-04-10 11:17:27.779795,2025-04-10 12:59:27.779795,2025-04-10 14:25:51.779795,Closed,High,VPN Issue,VPN disconnecting,1.7,3.14,False,5.0,VPN disconnecting - vpn issue reported by user
2983,127,9,5,8,3,2024-08-30 05:17:27.779795,2024-08-30 06:28:51.779795,,In Progress,Medium,Password Reset,Password reset request,1.19,,,,Password reset request - password reset reported by user
2984,159,23,6,8,3,2026-03-10 01:32:27.779795,2026-03-10 05:20:27.779795,2026-03-12 10:48:39.779795,Resolved,Medium,Email Issue,Email delivery delay,3.8,57.27,True,5.0,Email delivery delay - email issue reported by user
2985,135,26,6,5,4,2026-05-14 17:36:27.779795,2026-05-15 07:22:39.779795,,Open,Low,Printer Issue,Printer offline,13.77,,,,Printer offline - printer issue reported by user
2986,231,5,1,1,2,2025-10-24 23:00:27.779795,2025-10-24 23:56:51.779795,2025-10-25 06:53:51.779795,Closed,High,Password Reset,Expired password,0.94,7.89,False,5.0,Expired password - password reset reported by user
2987,63,9,5,3,3,2024-11-06 10:54:27.779795,2024-11-06 12:58:39.779795,2024-11-08 09:27:27.779795,Resolved,Medium,Hardware,Laptop issue,2.07,46.55,True,5.0,Laptop issue - hardware reported by user
2988,289,6,3,9,1,2024-11-21 01:51:27.779795,2024-11-21 02:10:03.779795,2024-11-21 03:27:27.779795,Resolved,Critical,Software Access,Permission issue,0.31,1.6,False,4.0,Permission issue - software access reported by user
2989,141,4,6,8,2,2024-09-17 12:27:27.779795,2024-09-17 13:32:15.779795,,Open,High,WiFi/Network,WiFi disconnecting,1.08,,,,WiFi disconnecting - wifi/network reported by user
2990,169,19,2,6,2,2024-06-10 06:12:27.779795,2024-06-10 09:49:39.779795,2024-06-11 04:52:03.779795,Resolved,High,WiFi/Network,No internet access,3.62,22.66,True,5.0,No internet access - wifi/network reported by user
2991,268,11,1,2,4,2026-02-13 17:05:27.779795,2026-02-13 18:37:51.779795,2026-02-14 05:21:03.779795,Resolved,Low,VPN Issue,VPN connection failed,1.54,12.26,False,5.0,VPN connection failed - vpn issue reported by user
2992,299,14,4,8,4,2025-10-25 18:38:27.779795,2025-10-25 19:12:03.779795,2025-10-31 10:34:15.779795,Resolved,Low,Security Alert,Endpoint alert,0.56,135.93,True,5.0,Endpoint alert - security alert reported by user
2993,112,12,4,7,4,2026-03-12 15:19:27.779795,2026-03-12 17:26:39.779795,2026-03-14 22:45:51.779795,Resolved,Low,Account Lockout,AD account issue,2.12,55.44,False,5.0,AD account issue - account lockout reported by user
2994,269,4,3,8,1,2024-10-01 05:39:27.779795,2024-10-01 06:13:03.779795,2024-10-01 15:35:51.779795,Resolved,Critical,Printer Issue,Unable to print,0.56,9.94,True,5.0,Unable to print - printer issue reported by user
2995,98,28,2,7,3,2025-08-15 12:17:27.779795,2025-08-15 12:48:39.779795,2025-08-15 21:18:39.779795,Resolved,Medium,Software Access,Application access request,0.52,9.02,False,4.0,Application access request - software access reported by user
2996,292,10,5,3,4,2026-04-16 10:52:27.779795,2026-04-16 12:08:03.779795,2026-04-16 19:15:15.779795,Resolved,Low,Software Access,Permission issue,1.26,8.38,False,5.0,Permission issue - software access reported by user
2997,146,29,5,8,3,2025-05-15 19:38:27.779795,2025-05-16 01:48:39.779795,2025-05-16 05:48:03.779795,Resolved,Medium,Email Issue,Mailbox access issue,6.17,10.16,False,5.0,Mailbox access issue - email issue reported by user
2998,110,20,4,6,4,2024-08-01 12:46:27.779795,2024-08-02 07:20:03.779795,2024-08-03 05:56:39.779795,Resolved,Low,VPN Issue,VPN disconnecting,18.56,41.17,False,2.0,VPN disconnecting - vpn issue reported by user
2999,23,11,4,9,2,2025-09-08 04:41:27.779795,2025-09-08 06:03:03.779795,2025-09-08 08:25:15.779795,Resolved,High,Password Reset,Forgot password,1.36,3.73,False,5.0,Forgot password - password reset reported by user
3000,180,8,6,3,4,2025-11-06 14:16:27.779795,2025-11-07 01:00:15.779795,2025-11-09 21:57:51.779795,Closed,Low,Password Reset,Forgot password,10.73,79.69,True,5.0,Forgot password - password reset reported by user
3001,197,14,2,9,1,2025-07-25 22:24:27.779795,2025-07-25 23:01:39.779795,2025-07-26 03:44:51.779795,Resolved,Critical,WiFi/Network,WiFi disconnecting,0.62,5.34,True,5.0,WiFi disconnecting - wifi/network reported by user
3002,203,33,6,10,3,2025-10-12 02:01:27.779795,2025-10-12 02:53:03.779795,2025-10-12 23:17:03.779795,Closed,Medium,Email Issue,Outlook not syncing,0.86,21.26,False,3.0,Outlook not syncing - email issue reported by user
3003,167,29,5,4,4,2025-02-10 22:52:27.779795,2025-02-11 01:25:27.779795,2025-02-11 18:51:51.779795,Resolved,Low,Password Reset,Expired password,2.55,19.99,False,5.0,Expired password - password reset reported by user
3004,295,25,2,5,3,2024-09-15 11:03:27.779795,2024-09-15 13:19:03.779795,2024-09-16 01:48:27.779795,Resolved,Medium,Software Access,License missing,2.26,14.75,False,5.0,License missing - software access reported by user
3005,118,27,5,6,2,2024-10-12 07:46:27.779795,2024-10-12 08:42:51.779795,,In Progress,High,Software Access,Permission issue,0.94,,,,Permission issue - software access reported by user
3006,61,2,2,2,2,2025-04-14 13:25:27.779795,2025-04-14 14:21:15.779795,,In Progress,High,VPN Issue,VPN disconnecting,0.93,,,,VPN disconnecting - vpn issue reported by user
3007,192,27,4,2,2,2024-09-30 16:48:27.779795,2024-09-30 18:26:15.779795,2024-09-30 22:48:27.779795,Resolved,High,Hardware,Docking station problem,1.63,6.0,False,5.0,Docking station problem - hardware reported by user
3008,42,1,2,7,3,2024-08-23 15:39:27.779795,2024-08-23 17:05:15.779795,2024-08-23 23:56:51.779795,Resolved,Medium,Hardware,Laptop issue,1.43,8.29,False,4.0,Laptop issue - hardware reported by user
3009,245,31,3,2,4,2026-03-09 04:41:27.779795,2026-03-09 07:27:39.779795,2026-03-10 05:55:15.779795,Closed,Low,Email Issue,Email delivery delay,2.77,25.23,False,1.0,Email delivery delay - email issue reported by user
3010,96,8,3,8,4,2024-10-22 23:33:27.779795,2024-10-23 06:28:39.779795,2024-10-31 00:11:15.779795,Resolved,Low,Account Lockout,AD account issue,6.92,192.63,True,5.0,AD account issue - account lockout reported by user
3011,105,19,2,9,3,2025-04-28 00:12:27.779795,2025-04-28 04:01:03.779795,2025-04-28 05:26:15.779795,Closed,Medium,Password Reset,Expired password,3.81,5.23,False,5.0,Expired password - password reset reported by user
3012,181,4,4,2,4,2025-07-21 20:55:27.779795,2025-07-22 05:32:03.779795,2025-07-23 06:43:27.779795,Resolved,Low,Account Lockout,Account locked,8.61,33.8,False,2.0,Account locked - account lockout reported by user
3013,236,31,4,10,2,2025-08-07 06:21:27.779795,2025-08-07 06:50:51.779795,2025-08-07 14:11:51.779795,Resolved,High,VPN Issue,VPN connection failed,0.49,7.84,False,4.0,VPN connection failed - vpn issue reported by user
3014,139,27,1,3,3,2024-06-23 11:17:27.779795,2024-06-23 14:45:03.779795,2024-06-23 15:07:51.779795,Resolved,Medium,Security Alert,Phishing email reported,3.46,3.84,False,5.0,Phishing email reported - security alert reported by user
3015,261,33,2,5,3,2025-10-04 09:51:27.779795,2025-10-04 11:44:15.779795,2025-10-05 09:32:51.779795,Resolved,Medium,Application Error,CRM login issue,1.88,23.69,False,5.0,CRM login issue - application error reported by user
3016,96,15,1,1,3,2025-11-22 13:45:27.779795,2025-11-22 15:34:39.779795,,Open,Medium,Hardware,Docking station problem,1.82,,,,Docking station problem - hardware reported by user
3017,60,13,2,7,3,2025-04-18 00:49:27.779795,2025-04-18 01:30:51.779795,2025-04-18 03:02:39.779795,Closed,Medium,Software Access,Application access request,0.69,2.22,False,4.0,Application access request - software access reported by user
3018,274,12,3,7,3,2025-08-20 15:51:27.779795,2025-08-20 18:20:15.779795,,Open,Medium,Security Alert,Suspicious login,2.48,,,,Suspicious login - security alert reported by user
